Plan ID,Project WBS,Phase Name,Budget Type,Category,Planned Amount,Actual Spend,Forecast,Variance,Variance %,Period,Status,Owner,Notes,Analytic Account
FP-2025-02-003,1.0,I. Initial & Compliance,OPEX,VAT & Compliance,12000,0,12000,0,0.00%,Feb 2025,Planned,JLI,Next period budget,ACC-002
FP-2025-02-004,1.0,I. Initial & Compliance,OPEX,CA Liquidations,8000,0,8000,0,0.00%,Feb 2025,Planned,LAS,Next period budget,ACC-001
FP-2025-02-005,2.0,II. Accruals & Amortization,OPEX,Accruals & Expenses,45000,0,45000,0,0.00%,Feb 2025,Planned,RIM,Next period budget,ACC-003
FP-2025-02-006,2.0,II. Accruals & Amortization,OPEX,Corporate Accruals,28000,0,28000,0,0.00%,Feb 2025,Planned,BOM,Next period budget,ACC-003
FP-2025-02-007,2.0,II. Accruals & Amortization,OPEX,Client Billings,52000,0,52000,0,0.00%,Feb 2025,Planned,JPAL,Next period budget,ACC-004
FP-2025-02-008,2.0,II. Accruals & Amortization,CAPEX,Asset Capitalization,18000,0,18000,0,0.00%,Feb 2025,Planned,LAS,Next period budget,ACC-005
FP-2025-02-009,2.0,II. Accruals & Amortization,OPEX,Depreciation,22000,0,22000,0,0.00%,Feb 2025,Planned,BOM,Next period budget,ACC-005
FP-2025-02-010,2.0,II. Accruals & Amortization,OPEX,Insurance & Treasury,14000,0,14000,0,0.00%,Feb 2025,Planned,BOM,Next period budget,ACC-003
FP-2025-02-011,2.0,II. Accruals & Amortization,OPEX,Intercompany,9000,0,9000,0,0.00%,Feb 2025,Planned,JPAL,Next period budget,ACC-006
FP-2025-02-012,3.0,III. WIP,OPEX,WIP Management,16000,0,16000,0,0.00%,Feb 2025,Planned,JPAL,Next period budget,ACC-007
FP-2025-02-013,3.0,III. WIP,OPEX,WIP Reconciliation,12000,0,12000,0,0.00%,Feb 2025,Planned,JRMO,Next period budget,ACC-007
FP-2025-02-014,4.0,IV. Final Adjustments,OPEX,Prior Period Review,8000,0,8000,0,0.00%,Feb 2025,Planned,RIM,Next period budget,ACC-001
FP-2025-02-015,4.0,IV. Final Adjustments,OPEX,Reclassifications,14000,0,14000,0,0.00%,Feb 2025,Planned,LAS,Next period budget,ACC-001
FP-2025-02-016,4.0,IV. Final Adjustments,OPEX,Aging Reports,6000,0,6000,0,0.00%,Feb 2025,Planned,JPAL,Next period budget,ACC-008
FP-2025-02-017,4.0,IV. Final Adjustments,OPEX,Regional Reporting,10000,0,10000,0,0.00%,Feb 2025,Planned,BOM,Next period budget,ACC-009
FP-2025-02-018,4.0,IV. Final Adjustments,OPEX,TB Sign-off,5000,0,5000,0,0.00%,Feb 2025,Planned,CKVC,Next period budget,ACC-001
FP-2025-03-001,1.0,I. Initial & Compliance,OPEX,Payroll & Personnel,35000,0,35000,0,0.00%,Mar 2025,Planned,RIM,Next period budget,ACC-001
FP-2025-03-002,1.0,I. Initial & Compliance,OPEX,Tax & Provisions,15000,0,15000,0,0.00%,Mar 2025,Planned,RIM,Next period budget,ACC-001
FP-2025-03-003,1.0,I. Initial & Compliance,OPEX,VAT & Compliance,12000,0,12000,0,0.00%,Mar 2025,Planned,JLI,Next period budget,ACC-002
FP-2025-03-004,1.0,I. Initial & Compliance,OPEX,CA Liquidations,8000,0,8000,0,0.00%,Mar 2025,Planned,LAS,Next period budget,ACC-001
FP-2025-03-005,2.0,II. Accruals & Amortization,OPEX,Accruals & Expenses,45000,0,45000,0,0.00%,Mar 2025,Planned,RIM,Next period budget,ACC-003
FP-2025-03-006,2.0,II. Accruals & Amortization,OPEX,Corporate Accruals,28000,0,28000,0,0.00%,Mar 2025,Planned,BOM,Next period budget,ACC-003
FP-2025-03-007,2.0,II. Accruals & Amortization,OPEX,Client Billings,52000,0,52000,0,0.00%,Mar 2025,Planned,JPAL,Next period budget,ACC-004
FP-2025-03-008,2.0,II. Accruals & Amortization,CAPEX,Asset Capitalization,18000,0,18000,0,0.00%,Mar 2025,Planned,LAS,Next period budget,ACC-005
FP-2025-03-009,2.0,II. Accruals & Amortization,OPEX,Depreciation,22000,0,22000,0,0.00%,Mar 2025,Planned,BOM,Next period budget,ACC-005
FP-2025-03-010,2.0,II. Accruals & Amortization,OPEX,Insurance & Treasury,14000,0,14000,0,0.00%,Mar 2025,Planned,BOM,Next period budget,ACC-003
FP-2025-03-011,2.0,II. Accruals & Amortization,OPEX,Intercompany,9000,0,9000,0,0.00%,Mar 2025,Planned,JPAL,Next period budget,ACC-006
FP-2025-03-012,3.0,III. WIP,OPEX,WIP Management,16000,0,16000,0,0.00%,Mar 2025,Planned,JPAL,Next period budget,ACC-007
FP-2025-03-013,3.0,III. WIP,OPEX,WIP Reconciliation,12000,0,12000,0,0.00%,Mar 2025,Planned,JRMO,Next period budget,ACC-007
FP-2025-03-014,4.0,IV. Final Adjustments,OPEX,Prior Period Review,8000,0,8000,0,0.00%,Mar 2025,Planned,RIM,Next period budget,ACC-001
FP-2025-03-015,4.0,IV. Final Adjustments,OPEX,Reclassifications,14000,0,14000,0,0.00%,Mar 2025,Planned,LAS,Next period budget,ACC-001
FP-2025-03-016,4.0,IV. Final Adjustments,OPEX,Aging Reports,6000,0,6000,0,0.00%,Mar 2025,Planned,JPAL,Next period budget,ACC-008
FP-2025-03-017,4.0,IV. Final Adjustments,OPEX,Regional Reporting,10000,0,10000,0,0.00%,Mar 2025,Planned,BOM,Next period budget,ACC-009
FP-2025-03-018,4.0,IV. Final Adjustments,OPEX,TB Sign-off,5000,0,5000,0,0.00%,Mar 2025,Planned,CKVC,Next period budget,ACC-001
